"","team","slot","player","position","projPts","bidNum","paid"
"143","Toby","BENCH6","","",0,0,0
"144","Toby","BENCH7","","",0,0,0
"145","Keith","QB","","",0,0,0
"146","Keith","RB1","","",0,0,0
"147","Keith","RB2","","",0,0,0
"148","Keith","WR1","","",0,0,0
"149","Keith","WR2","","",0,0,0
"150","Keith","FLEX","","",0,0,0
"151","Keith","TE","","",0,0,0
"152","Keith","DST","","",0,0,0
"153","Keith","K","","",0,0,0
"154","Keith","BENCH1","","",0,0,0
"155","Keith","BENCH2","","",0,0,0
"156","Keith","BENCH3","","",0,0,0
"157","Keith","BENCH4","","",0,0,0
"158","Keith","BENCH5","","",0,0,0
"159","Keith","BENCH6","","",0,0,0
"160","Keith","BENCH7","","",0,0,0
"161","Ross","QB","","",0,0,0
"162","Ross","RB1","","",0,0,0
"163","Ross","RB2","","",0,0,0
"164","Ross","WR1","","",0,0,0
"165","Ross","WR2","","",0,0,0
"166","Ross","FLEX","","",0,0,0
"167","Ross","TE","","",0,0,0
"168","Ross","DST","","",0,0,0
"169","Ross","K","","",0,0,0
"170","Ross","BENCH1","","",0,0,0
"171","Ross","BENCH2","","",0,0,0
"172","Ross","BENCH3","","",0,0,0
"173","Ross","BENCH4","","",0,0,0
"174","Ross","BENCH5","","",0,0,0
"175","Ross","BENCH6","","",0,0,0
"176","Ross","BENCH7","","",0,0,0
"177","Billy","QB","","",0,0,0
"178","Billy","RB1","","",0,0,0
"179","Billy","RB2","","",0,0,0
"180","Billy","WR1","","",0,0,0
"181","Billy","WR2","","",0,0,0
"182","Billy","FLEX","","",0,0,0
"183","Billy","TE","","",0,0,0
"184","Billy","DST","","",0,0,0
"185","Billy","K","","",0,0,0
"186","Billy","BENCH1","","",0,0,0
"187","Billy","BENCH2","","",0,0,0
"188","Billy","BENCH3","","",0,0,0
"189","Billy","BENCH4","","",0,0,0
"190","Billy","BENCH5","","",0,0,0
"191","Billy","BENCH6","","",0,0,0
"192","Billy","BENCH7","","",0,0,0
