playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,foo
"89766","null","Brandon Myers","TE","TB","TE","TB","-77.2349","23.0303","null","404","324","59","null","0.7421","180.9933","-145.0067","0","29.5468","15.7034","3.2889","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","-77.5431","42.993","null","334","325","110","null","1.2575","204.9933","-122.0067","0","59.0426","24.82","3.9702","null",
"2543721","null","C.J. Fiedorowicz","TE","HOU","TE","HOU","-77.6715","22.5937","null","377","326","60","null","1.3253","194.31","-133.69","0","39.3126","8.4203","3.8486","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","-78.1269","50.647","null","229","327","69","null","1.2286","160.5925","-168.4075","0","75.5961","13.995","3.8936","null",
"2532835","null","Rhett Ellison","TE","MIN","TE","MIN","-78.2825","21.9827","null","378","328","61","null","1.5348","160.49","-169.51","0","36.8488","3.8017","3.968","null",
"2540005","null","Marlon Brown","WR","BAL","WR","BAL","-78.7948","41.7413","null","285","329","111","null","1.7344","184.4867","-146.5133","0","55.3625","31.66","4.4828","null",
"2552418","null","Justin Hardy","WR","ATL","WR","ATL","-78.8065","41.7296","null","291","330","112","null","3.7038","145.7267","-186.2733","0","57.8548","25.4","3.2531","null",
"2495470","null","Stevan Ridley","RB","NYJ","RB","NYJ","-79.1338","49.6401","null","209","331","70","null","0.4997","157.6167","-175.3833","0","69.7444","23.4279","4.4315","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","-79.5772","49.1966","null","254","332","71","null","0.1541","159.77","-174.23","0","65.4673","0.4","3.6293","null",
"2533460","null","Robert Turbin","RB","SEA","RB","SEA","-79.6897","49.0842","null","290","333","72","null","0.7466","164.2533","-170.7467","0","58.5126","37.1609","4.3213","null",
"2539327","null","Joseph Fauria","TE","DET","TE","DET","-79.7112","20.554","null","399","334","62","null","0.223","188.3167","-147.6833","0","32.5276","0.5","2.2898","null",
